Name,Age,,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,
Hanser Alberto,29,do DO,R,R,"5' 11""",215,17-Oct-92,7,73,38,73,66,10,0,3,37,20,5,0,0,1,1,5,17,1,0,"$1,350,000 ",
Yency Almonte,28,us US,R,R,"6' 5""",223,4-Jun-94,5,33,0,0,33,33,0,0,0,0,0,0,0,0,0,0,0,0,1.4,,
Eddy Alvarez,32,us US,L,R,"5' 8""",178,30-Jan-90,3,14,9,14,12,0,0,0,0,5,1,1,0,5,6,2,2,2,-0.5,"$100,000 ",
Tyler Anderson,32,us US,L,L,"6' 2""",220,30-Dec-89,7,31,28,2,30,30,0,0,0,0,0,0,0,0,0,0,1,0,3.9,"$8,000,000 ",All-Star
Austin Barnes,32,us US,R,R,"5' 10""",187,28-Dec-89,8,62,55,62,56,0,55,0,1,0,0,0,0,0,0,6,3,3,0.7,"$2,650,000 ",
Cody Bellinger,26,us US,L,L,"6' 4""",203,13-Jul-95,6,144,135,144,144,0,0,0,0,0,0,0,144,0,144,0,4,0,1.4,"$17,000,000 ",
Mookie Betts,29,us US,R,R,"5' 9""",180,7-Oct-92,9,142,138,142,139,0,0,0,7,0,0,0,0,136,136,1,3,0,6.7,"$22,916,666 ",All-Star
Phil Bickford,26,us US,R,R,"6' 4""",200,10-Jul-95,3,60,0,2,60,60,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,,
Justin Bruihl,25,us US,L,L,"6' 2""",215,26-Jun-97,2,24,0,1,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Walker Buehler,27,us US,R,R,"6' 2""",185,28-Jul-94,6,12,12,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0.3,"$4,250,000 ",
Garrett Cleavinger,28,us US,R,L,"6' 1""",220,23-Apr-94,3,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,,
Robbie Erlin,31,us US,R,L,"5' 11""",200,8-Oct-90,8,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,
Caleb Ferguson,25,us US,R,L,"6' 3""",226,2-Jul-96,4,37,1,0,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0.7,"$762,000 ",
Freddie Freeman,32,us US,L,R,"6' 5""",220,12-Sep-89,13,159,159,159,159,0,0,159,0,0,0,0,0,0,0,0,0,0,6.2,"$27,000,000 ",All-Star
Joey Gallo,28,us US,L,R,"6' 5""",249,19-Nov-93,8,44,36,44,40,0,0,1,0,0,0,32,0,10,40,4,2,0,0.3,,
Tony Gonsolin,28,us US,R,R,"6' 3""",205,14-May-94,4,24,24,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,4.3,,All-Star
Brusdar Graterol,23,ve VE,R,R,"6' 1""",265,26-Aug-98,4,46,1,0,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0.5,,
Shane Greene,33,us US,R,R,"6' 4""",200,17-Nov-88,9,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Michael Grove,25,us US,R,R,"6' 3""",200,18-Dec-96,1st,7,6,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,,
Andrew Heaney,31,us US,L,L,"6' 2""",200,5-Jun-91,9,16,14,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.5,"$8,500,000 ",
Heath Hembree,33,us US,R,R,"6' 4""",220,13-Jan-89,10,6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,,
Daniel Hudson,35,us US,R,R,"6' 3""",215,9-Mar-87,13,25,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0.6,"$7,000,000 ",
Andre Jackson,26,us US,R,R,"6' 3""",210,1-May-96,2,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.2,,
Tommy Kahnle,32,us US,R,R,"6' 1""",230,7-Aug-89,8,13,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0.3,"$3,450,000 ",
Clayton Kershaw,34,us US,L,L,"6' 4""",225,19-Mar-88,15,22,22,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,3.5,"$17,000,000 ",All-Star
Craig Kimbrel,34,us US,R,R,"6' 0""",215,28-May-88,13,63,0,1,63,63,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Jake Lamb,31,us US,L,R,"6' 3""",215,9-Oct-90,9,25,17,25,11,0,0,2,0,0,0,9,0,0,9,14,6,0,0.2,"$100,000 ",
Gavin Lux,24,us US,L,R,"6' 2""",190,23-Nov-97,4,129,118,129,126,0,0,0,102,0,9,28,0,0,28,1,8,0,2.8,,
Chris Martin,36,us US,R,R,"6' 8""",224,2-Jun-86,7,26,0,1,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0.9,,
Dustin May,24,us US,R,R,"6' 6""",180,6-Sep-97,4,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,,
Zach McKinstry,27,us US,L,R,"6' 0""",180,29-Apr-95,3,10,2,10,8,0,0,0,2,1,1,1,0,3,4,2,1,1,0.1,,
Reyes Moronta,29,do DO,R,R,"5' 10""",265,6-Jan-93,5,22,0,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Max Muncy,31,us US,L,R,"6' 0""",215,25-Aug-90,7,136,130,136,111,0,0,3,31,84,0,0,0,0,0,25,5,0,3,"$13,000,000 ",
James Outman,25,us US,L,R,"6' 3""",215,14-May-97,1st,4,4,4,3,0,0,0,0,0,0,3,0,1,3,1,0,0,0.4,,
Ryan Pepiot,24,us US,R,R,"6' 3""",215,21-Aug-97,1st,9,7,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0.3,,
Evan Phillips,27,us US,R,R,"6' 2""",215,11-Sep-94,5,64,0,1,64,64,0,0,0,0,0,0,0,0,0,0,0,0,2.6,,
Kevin Pillar,33,us US,R,R,"6' 0""",210,4-Jan-89,10,4,4,4,4,0,0,0,0,0,0,4,1,0,4,0,0,0,-0.2,"$100,000 ",
David Price,36,us US,L,L,"6' 5""",215,26-Aug-85,14,40,0,1,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0.7,"$32,000,000 ",
Jake Reed,29,us US,R,R,"6' 2""",197,29-Sep-92,2,5,0,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Edwin Ríos,28,pr PR,L,R,"6' 3""",220,21-Apr-94,4,27,20,27,8,0,0,4,0,4,0,0,0,0,0,20,5,0,0.1,,
Will Smith,27,us US,R,R,"5' 10""",195,28-Mar-95,4,137,130,137,109,0,109,0,0,0,0,0,0,0,0,25,6,0,4.4,,
Chris Taylor,31,us US,R,R,"6' 1""",196,29-Aug-90,9,118,110,118,114,0,0,0,22,3,1,80,10,10,95,5,7,0,0.7,"$15,000,000 ",
Trayce Thompson,31,us US,R,R,"6' 3""",225,15-Mar-91,6,74,54,74,72,0,0,0,0,0,0,35,18,23,72,4,11,2,2.1,,
Blake Treinen,34,us US,R,R,"6' 5""",225,30-Jun-88,9,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0.2,"$8,000,000 ",
Justin Turner,37,us US,R,R,"5' 11""",208,23-Nov-84,14,128,127,128,66,0,0,0,0,66,0,0,0,0,0,62,1,0,2.2,"$20,000,000 ",
Trea Turner,29,us US,R,R,"6' 2""",185,30-Jun-93,8,160,160,160,160,0,0,0,0,0,160,0,0,0,0,0,0,0,5.2,"$21,000,000 ",All-Star
Julio Urías,25,mx MX,L,L,"6' 0""",225,12-Aug-96,7,31,31,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,4.6,"$8,000,000 ",
Miguel Vargas,22,cu CU,R,R,"6' 2""",205,17-Nov-99,1st,18,11,18,14,0,0,8,0,1,0,7,0,0,7,5,0,1,-0.5,,
Alex Vesia,26,us US,L,L,"6' 1""",209,11-Apr-96,3,63,0,0,63,63,0,0,0,0,0,0,0,0,0,0,0,0,1.4,,
Mitch White,27,us US,R,R,"6' 3""",210,28-Dec-94,3,15,10,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.4,,
Tony Wolters,30,us US,L,R,"5' 10""",195,9-Jun-92,7,2,1,2,2,0,1,0,1,0,0,0,0,0,0,1,1,0,-0.1,,
