Name,Age,,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,
Brett Anderson,28,us US,L,L,"6' 4""",230,1-Feb-88,8,4,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,-0.8,"$15,800,000 ",
Luis Avilán,26,ve VE,L,L,"6' 2""",235,19-Jul-89,5,27,0,26,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0.3,"$1,390,000 ",
Pedro Báez,28,do DO,R,R,"6' 0""",232,11-Mar-88,3,73,0,67,73,73,0,0,0,0,0,0,0,0,0,0,0,0,1.2,"$520,000 ",
Austin Barnes,26,us US,R,R,"5' 10""",187,28-Dec-89,2,21,7,21,16,0,9,0,7,1,0,0,0,0,0,0,8,1,-0.1,"$512,500 ",
Joe Blanton,35,us US,R,R,"6' 3""",225,11-Dec-80,12,75,0,71,75,75,0,0,0,0,0,0,0,0,0,0,0,0,1.9,"$4,000,000 ",
Mike Bolsinger,28,us US,R,R,"6' 1""",215,29-Jan-88,3,6,6,5,6,6,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,,
Jesse Chavez,32,us US,R,R,"6' 1""",180,21-Aug-83,9,23,0,22,23,23,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,"$4,000,000 ",
Louis Coleman,30,us US,R,R,"6' 4""",205,4-Apr-86,6,61,0,57,61,61,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,"$725,000 ",
Carl Crawford,34,us US,L,L,"6' 2""",230,5-Aug-81,15,30,21,30,21,0,0,0,0,0,0,21,0,0,21,4,8,0,-1,,
Charlie Culberson,27,us US,R,R,"6' 1""",200,10-Apr-89,4,34,19,34,26,0,0,0,10,4,11,2,0,0,2,0,11,1,0.4,"$535,000 ",
Grant Dayton,28,us US,L,L,"6' 2""",210,25-Nov-87,1st,25,0,23,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0.7,,
José De León,23,pr PR,R,R,"6' 0""",220,7-Aug-92,1st,4,4,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,,
A.J. Ellis,35,us US,R,R,"6' 2""",225,9-Apr-81,9,53,42,53,46,0,46,0,0,0,0,0,0,0,0,0,9,0,-0.2,,
Andre Ethier,34,us US,L,L,"6' 2""",210,10-Apr-82,11,16,3,16,4,0,0,0,0,0,0,4,0,0,4,1,12,0,-0.2,"$18,000,000 ",
Josh Fields,30,us US,R,R,"6' 0""",191,19-Aug-85,4,22,0,21,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0.2,,
Casey Fien,32,us US,R,R,"6' 2""",210,21-Oct-83,7,25,0,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0.1,"$2,275,000 ",
Carlos Frías,26,do DO,R,R,"6' 4""",195,13-Nov-89,3,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,"$517,500 ",
Yimi García,25,do DO,R,R,"6' 1""",230,18-Aug-90,3,9,0,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0.1,"$517,500 ",
Adrián González,34,us US,L,L,"6' 2""",215,8-May-82,13,156,148,156,151,0,0,151,0,0,0,0,0,0,0,2,6,0,1.9,"$21,857,000 ",
Yasmani Grandal,27,cu CU,B,R,"6' 2""",225,8-Nov-88,5,126,108,126,117,0,115,4,0,0,0,0,0,0,0,0,16,0,3,"$2,800,000 ",
Chris Hatcher,31,us US,B,R,"6' 1""",200,12-Jan-85,7,37,0,34,37,37,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,"$1,065,000 ",
Enrique Hernández,24,pr PR,R,R,"5' 11""",195,24-Aug-91,3,109,47,109,75,0,0,0,11,5,2,41,22,7,62,1,51,0,-0.1,"$520,000 ",
Rich Hill,36,us US,L,L,"6' 5""",220,11-Mar-80,12,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1.3,"$6,000,000 ",
J.P. Howell,33,us US,L,L,"6' 0""",180,25-Apr-83,11,64,0,61,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0.3,"$6,250,000 ",
Kenley Jansen,28,cw CW,B,R,"6' 5""",265,30-Sep-87,7,72,0,68,71,71,0,0,0,0,0,0,0,0,0,0,0,0,2.8,"$10,650,000 ",All-Star
Micah Johnson,25,us US,L,R,"6' 0""",210,18-Dec-90,2,7,0,7,4,0,0,0,3,0,0,1,0,0,1,0,5,1,-0.1,,
