Name,Age,,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,
Scott Kazmir,32,us US,L,L,"6' 0""",185,24-Jan-84,12,27,26,26,26,26,0,0,0,0,0,0,0,0,0,0,1,0,0.2,"$12,666,667 ",
Howie Kendrick,32,us US,R,R,"5' 11""",225,12-Jul-83,11,146,124,146,133,0,0,11,32,17,0,94,0,0,94,1,19,0,0.6,"$10,000,000 ",
Clayton Kershaw,28,us US,L,L,"6' 4""",225,19-Mar-88,9,23,21,21,21,21,0,0,0,0,0,0,0,0,0,0,1,1,6.1,"$34,571,429 ",All-Star
Adam Liberatore,29,us US,L,L,"6' 3""",243,12-May-87,2,58,0,55,58,58,0,0,0,0,0,0,0,0,0,0,0,0,0.7,,
Kenta Maeda,28,jp JP,R,R,"6' 1""",185,11-Apr-88,1st,35,32,34,32,32,0,0,0,0,0,0,0,0,0,0,1,2,2.8,"$3,125,000 ",
Brandon McCarthy,32,us US,R,R,"6' 8""",225,7-Jul-83,11,10,9,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,"$12,500,000 ",
Bud Norris,31,us US,R,R,"6' 0""",215,2-Mar-85,8,13,9,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,"$2,500,000 ",
Joc Pederson,24,us US,L,L,"6' 1""",220,21-Apr-92,3,137,114,137,132,0,0,0,0,0,0,0,132,0,132,0,17,1,3.4,"$520,000 ",
Yasiel Puig,25,cu CU,R,R,"6' 2""",240,7-Dec-90,4,104,81,104,95,0,0,0,0,0,0,5,4,90,95,0,17,0,1.3,"$7,214,000 ",
Josh Ravin,28,us US,R,R,"6' 4""",215,21-Jan-88,2,10,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0.3,"$515,000 ",
Josh Reddick,29,us US,L,R,"6' 2""",197,19-Feb-87,8,47,38,47,42,0,0,0,0,0,0,0,0,42,42,0,7,0,0,"$6,575,000 ",
Carlos Ruiz,37,pa PA,R,R,"5' 10""",215,22-Jan-79,11,14,9,14,9,0,9,0,0,0,0,0,0,0,0,0,5,0,0.2,"$8,500,000 ",
Hyun Jin Ryu,29,kr KR,R,L,"6' 3""",250,25-Mar-87,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,"$7,833,000 ",
Corey Seager,22,us US,L,R,"6' 4""",215,27-Apr-94,2,157,149,157,155,0,0,0,0,0,155,0,0,0,0,0,7,0,5.2,"$510,000 ",All-Star
Rob Segedin,27,us US,R,R,"6' 2""",220,10-Nov-88,1st,40,17,40,26,0,0,9,0,6,0,7,0,7,13,0,18,0,0,,
Brock Stewart,24,us US,L,R,"6' 3""",220,3-Oct-91,1st,7,5,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,,
Ross Stripling,26,us US,R,R,"6' 1""",215,23-Nov-89,1st,22,14,19,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0.9,,
Chris Taylor,25,us US,R,R,"6' 1""",196,29-Aug-90,3,34,11,34,21,0,0,0,7,10,5,0,0,0,0,0,15,0,0.1,,
Nick Tepesch,27,us US,R,R,"6' 4""",240,12-Oct-88,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,,
Trayce Thompson,25,us US,R,R,"6' 3""",225,15-Mar-91,2,80,61,80,71,0,0,0,0,0,0,24,32,28,71,0,13,0,0.7,"$512,500 ",
Andrew Toles,24,us US,L,R,"5' 9""",192,24-May-92,1st,48,23,48,32,0,0,0,0,0,0,18,9,8,32,0,23,1,1.4,,
Chin-hui Tsao,35,tw TW,R,R,"6' 2""",170,2-Jun-81,6,2,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Justin Turner,31,us US,R,R,"5' 11""",208,23-Nov-84,8,151,140,151,144,0,0,1,0,144,0,0,0,0,0,2,10,0,5,"$5,100,000 ",
Julio Urías,19,mx MX,L,L,"6' 0""",225,12-Aug-96,1st,18,15,17,18,18,0,0,0,0,0,0,0,0,0,0,0,0,1.1,,
Chase Utley,37,us US,L,R,"6' 1""",195,17-Dec-78,14,138,118,138,134,0,0,0,134,1,0,0,0,0,0,0,15,0,1.2,"$7,000,000 ",
Scott Van Slyke,29,us US,R,R,"6' 4""",215,24-Jul-86,5,52,22,52,35,0,0,7,0,0,0,19,1,10,29,0,19,2,-0.4,"$1,225,000 ",
Will Venable,33,us US,L,L,"6' 3""",205,29-Oct-82,9,12,3,12,5,0,0,0,0,0,0,1,0,4,5,0,9,0,-0.3,,
Zach Walters,26,us US,B,R,"6' 2""",210,5-Sep-89,4,3,1,3,2,0,0,1,0,0,0,1,0,1,1,0,2,0,-0.1,,
Alex Wood,25,us US,R,L,"6' 4""",215,12-Jan-91,4,15,10,14,14,14,0,0,0,0,0,0,0,0,0,0,0,1,0.6,"$530,000 ",
