Name,Age,,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,
Evan Phillips,28,us US,R,R,"6' 2""",215,11-Sep-94,6,62,0,0,62,62,0,0,0,0,0,0,0,0,0,0,0,0,1.6,"$1,300,000 ",
Jake Reed,30,us US,R,R,"6' 2""",197,29-Sep-92,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,,
Nick Robertson,24,us US,R,R,"6' 6""",235,16-Jul-98,1st,9,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,,
Miguel Rojas,34,ve VE,R,R,"6' 0""",188,24-Feb-89,10,125,109,124,123,3,0,0,1,1,121,0,0,0,0,2,12,1,1.2,"$4,250,000 ",
Amed Rosario,27,do DO,R,R,"6' 2""",190,20-Nov-95,7,48,28,48,42,0,0,0,36,0,16,0,0,0,0,6,11,5,0.7,,
Tayler Scott,31,za ZA,R,R,"6' 3""",185,1-Jun-92,3,6,0,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,,
Emmet Sheehan,23,us US,R,R,"6' 5""",220,15-Nov-99,1st,13,11,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0.3,,
Will Smith,28,us US,R,R,"5' 10""",195,28-Mar-95,5,126,120,126,111,0,111,0,0,0,0,0,0,0,0,14,4,0,4.1,"$5,250,000 ",All-Star
Gavin Stone,24,us US,R,R,"6' 1""",175,15-Oct-98,1st,8,4,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,-1.1,,
Wander Suero,31,do DO,R,R,"6' 4""",216,15-Sep-91,5,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,,
Noah Syndergaard,30,us US,L,R,"6' 6""",242,29-Aug-92,8,12,12,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,-1,"$13,000,000 ",
Chris Taylor,32,us US,R,R,"6' 1""",196,29-Aug-90,10,117,82,117,109,0,0,0,3,28,31,57,5,0,60,7,23,3,1.4,"$15,000,000 ",
Trayce Thompson,32,us US,R,R,"6' 3""",225,15-Mar-91,7,36,19,36,30,0,0,0,0,0,0,13,15,6,30,2,13,1,-0.3,"$1,450,000 ",
Julio Urías,26,mx MX,L,L,"6' 0""",225,12-Aug-96,8,21,21,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0.7,"$14,250,000 ",
Miguel Vargas,23,cu CU,R,R,"6' 2""",205,17-Nov-99,2,81,70,81,79,0,0,5,78,0,0,0,0,0,0,2,10,0,-0.1,"$722,500 ",
Gus Varland,26,us US,L,R,"6' 1""",213,6-Nov-96,1st,8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Alex Vesia,27,us US,L,L,"6' 1""",209,11-Apr-96,4,56,1,2,56,56,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,"$750,000 ",
Luke Williams,26,us US,R,R,"6' 1""",186,9-Aug-96,3,4,3,4,4,1,0,0,0,0,4,0,0,0,0,0,1,0,-0.1,,
Kolten Wong,32,us US,L,R,"5' 7""",185,10-Oct-90,11,20,4,20,11,0,0,0,11,0,0,0,0,0,0,4,12,1,0.4,,
Austin Wynns,32,us US,R,R,"6' 0""",190,10-Dec-90,5,5,4,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Ryan Yarbrough,31,us US,R,L,"6' 5""",215,31-Dec-91,6,11,2,1,11,11,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,
