Name,Age,,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary
Austin Barnes,34,us US,R,R,"5' 10""",187,28-Dec-89,10,3,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0.2,"$3,500,000 "
Mookie Betts,31,us US,R,R,"5' 9""",180,7-Oct-92,11,19,19,19,19,0,0,0,10,0,16,0,0,0,0,0,0,0,1.8,"$30,416,667 "
Ryan Brasier,36,us US,R,R,"6' 0""",223,26-Aug-87,8,8,1,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0.1,"$4,500,000 "
Connor Brogdon,29,us US,R,R,"6' 6""",205,29-Jan-95,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,
Nabil Crismatt,29,co CO,R,R,"6' 1""",220,25-Dec-94,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,
J.P. Feyereisen,31,us US,R,R,"6' 2""",215,7-Feb-93,4,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,"$770,000 "
Freddie Freeman,34,us US,L,R,"6' 5""",220,12-Sep-89,15,19,19,19,19,0,0,19,0,0,0,0,0,0,0,0,0,0,0,"$27,000,000 "
Tyler Glasnow,30,us US,L,R,"6' 8""",225,23-Aug-93,9,5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0.6,"$17,500,000 "
Michael Grove,27,us US,R,R,"6' 3""",200,18-Dec-96,3,6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,
Enrique Hernández,32,pr PR,R,R,"5' 11""",195,24-Aug-91,11,13,10,13,13,0,0,1,0,1,0,5,7,0,12,0,3,0,-0.5,"$4,000,000 "
Teoscar Hernández,31,do DO,R,R,"6' 2""",215,15-Oct-92,9,19,19,19,19,0,0,0,0,0,0,4,0,17,19,0,0,0,0.9,"$23,500,000 "
Jason Heyward,34,us US,L,L,"6' 5""",240,9-Aug-89,15,4,4,4,4,0,0,0,0,0,0,0,0,4,4,0,0,0,0.1,"$9,000,000 "
Daniel Hudson,37,us US,R,R,"6' 3""",215,9-Mar-87,15,8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0.3,"$2,000,000 "
