Name,Age,,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary
Kyle Hurt,26,us US,R,R,"6' 3""",240,30-May-98,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,
Joe Kelly,36,us US,R,R,"6' 1""",174,9-Jun-88,13,7,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,"$8,000,000 "
Dinelson Lamet,31,do DO,R,R,"6' 3""",228,18-Jul-92,7,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gavin Lux,26,us US,L,R,"6' 2""",190,23-Nov-97,5,16,13,16,16,0,0,0,16,0,0,0,0,0,0,0,3,0,-0.2,"$1,225,000 "
Bobby Miller,25,us US,L,R,"6' 5""",220,5-Apr-99,2,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
Max Muncy,33,us US,L,R,"6' 0""",215,25-Aug-90,9,18,17,18,18,0,0,0,0,18,0,0,0,0,0,0,1,0,0.6,"$9,500,000 "
Shohei Ohtani,29,jp JP,L,R,"6' 4""",210,5-Jul-94,7,19,19,19,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0.9,"$28,216,944 "
James Outman,27,us US,L,R,"6' 3""",215,14-May-97,3,17,14,17,17,0,0,0,0,0,0,0,17,0,17,0,3,0,-0.1,
James Paxton,35,ca CA,L,L,"6' 4""",212,6-Nov-88,11,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.5,"$7,000,000 "
Evan Phillips,29,us US,R,R,"6' 2""",215,11-Sep-94,7,8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0.5,"$4,000,000 "
Nick Ramirez,34,us US,L,L,"6' 4""",232,1-Aug-89,5,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,
Miguel Rojas,35,ve VE,R,R,"6' 0""",188,24-Feb-89,11,11,7,11,11,0,0,0,0,1,10,0,0,0,0,0,2,0,0,"$5,750,000 "
Will Smith,29,us US,R,R,"5' 10""",195,28-Mar-95,6,17,16,17,16,0,16,0,0,0,0,0,0,0,0,0,1,0,0.3,"$16,550,000 "
Gavin Stone,25,us US,R,R,"6' 1""",175,15-Oct-98,2,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,
Chris Taylor,33,us US,R,R,"6' 1""",196,29-Aug-90,11,14,10,14,12,0,0,0,0,0,0,12,0,0,12,0,3,1,-0.4,"$13,000,000 "
Taylor Trammell,26,us US,L,L,"6' 2""",220,13-Sep-97,4,5,1,5,3,0,0,0,0,0,0,2,0,1,3,0,1,2,-0.2,
Ricky Vanasco,25,us US,R,R,"6' 3""",180,13-Oct-98,1st,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,
Gus Varland,27,us US,L,R,"6' 1""",213,6-Nov-96,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,
Alex Vesia,28,us US,L,L,"6' 1""",209,11-Apr-96,5,9,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0.1,"$1,000,000 "
Yoshinobu Yamamoto,25,jp JP,R,R,"5' 10""",176,17-Aug-98,1st,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.2,"$9,166,667 "
Ryan Yarbrough,32,us US,R,L,"6' 5""",215,31-Dec-91,7,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0.3,"$3,900,000 "
