team name,roster,league,division,team payroll,  w,  l,wpct,rank,lgrk,mlb rk,last yr payroll,top salary
Los Angeles Dodgers,team roster,NL,West,"253,639,162",91,71,0.562,1,3,6,"230,352,402",Clayton Kershaw (1)
New York Yankees,team roster,AL,East,"227,854,349",84,78,0.519,4,8,15,"213,472,857",CC Sabathia (6)
Boston Red Sox,team roster,AL,East,"199,864,178",93,69,0.574,1,3,5,"168,691,914",David Price (3)
Detroit Tigers,team roster,AL,Central,"199,525,500",86,75,0.534,2,6,11,"172,792,250",Miguel Cabrera (4)
San Francisco Giants,team roster,NL,West,"171,464,943",87,75,0.537,2,4,9,"166,495,942",Buster Posey (24)
Chicago Cubs,team roster,NL,Central,"167,444,167",103,58,0.64,1,1,1,"117,164,522",Jon Lester (24)
Los Angeles Angels,team roster,AL,West,"166,831,190",74,88,0.457,4,12,21,"146,449,583",Albert Pujols (6)
Texas Rangers,team roster,AL,West,"161,246,720",95,67,0.586,1,1,3,"144,816,873",Prince Fielder (10)
St. Louis Cardinals,team roster,NL,Central,"149,186,000",86,76,0.531,2,6,13,"120,301,957",Adam Wainwright (34)
Baltimore Orioles,team roster,AL,East,"147,943,713",89,73,0.549,2,5,7,"118,862,632",Chris Davis (43)
Washington Nationals,team roster,NL,East,"146,686,385",95,67,0.586,1,2,2,"174,510,977",Jayson Werth (20)
Seattle Mariners,team roster,AL,West,"144,996,858",86,76,0.531,2,7,12,"123,225,842",Felix Hernandez (6)
Toronto Blue Jays,team roster,AL,East,"140,582,027",89,73,0.549,3,4,8,"116,415,800",Troy Tulowitzki (24)
Kansas City Royals,team roster,AL,Central,"137,606,125",81,81,0.5,3,10,16,"112,914,525",Alex Gordon (88)
New York Mets,team roster,NL,East,"130,612,115",87,75,0.537,2,5,10,"100,133,953",David Wright (24)
Chicago White Sox,team roster,AL,Central,"115,998,667",78,84,0.481,4,11,19,"110,712,866",John Danks (64)
Colorado Rockies,team roster,NL,West,"113,242,571",75,87,0.463,3,9,20,"98,261,171",Carlos Gonzalez (43)
Minnesota Twins,team roster,AL,Central,"104,591,200",59,103,0.364,5,15,30,"108,262,000",Joe Mauer (12)
Philadelphia Phillies,team roster,NL,East,"103,346,668",71,91,0.438,4,11,23,"133,048,000",Ryan Howard (6)
San Diego Padres,team roster,NL,West,"100,547,000",68,94,0.42,5,14,29,"126,619,628",Matt Kemp (18)
Pittsburgh Pirates,team roster,NL,Central,"99,960,499",78,83,0.484,3,8,18,"85,885,832",Andrew McCutchen (73)
Arizona Diamondbacks,team roster,NL,West,"98,657,436",69,93,0.426,4,12,25,"65,770,333",Zack Greinke (2)
Cleveland Indians,team roster,AL,Central,"98,006,899",94,67,0.584,1,2,4,"87,746,766",Carlos Santana (144)
Houston Astros,team roster,AL,West,"96,643,000",84,78,0.519,3,9,14,"69,064,200",Colby Rasmus (53)
Cincinnati Reds,team roster,NL,Central,"93,171,452",68,94,0.42,5,15,28,"117,732,284",Joey Votto (24)
Oakland Athletics,team roster,AL,West,"85,823,390",69,93,0.426,5,13,24,"80,786,666",Coco Crisp (99)
Atlanta Braves,team roster,NL,East,"84,821,541",68,93,0.422,5,13,26,"89,622,648",Freddie Freeman (88)
Miami Marlins,team roster,NL,East,"70,464,500",79,82,0.491,3,7,17,"84,637,500",Martin Prado (99)
Tampa Bay Rays,team roster,AL,East,"64,120,323",68,94,0.42,5,14,27,"74,849,584",Evan Longoria (87)
Milwaukee Brewers,team roster,NL,Central,"62,964,319",73,89,0.451,4,10,22,"98,683,035",Ryan Braun (35)
